CANCER,SEURAT_OBJECT,DOWNLOAD_LINK,LOCATION
Acute Lymphoblastic Leukemia,ALL_GSE132509,https://chenlab-data-public.s3.us-west-2.amazonaws.com/BISPECIFIC_ANTIBODY/Single_cell_data/TISCH/ALL_GSE132509.RDS,/mnt/ufs18/rs-013/chenlab/Bispecific/Datasets/TISCH DATASET/ALL_GSE132509.RDS
Acute Myeloid Leukemia,AML_GSE154109,https://chenlab-data-public.s3.us-west-2.amazonaws.com/BISPECIFIC_ANTIBODY/Single_cell_data/TISCH/AML_GSE154109.RDS,/mnt/ufs18/rs-013/chenlab/Bispecific/Datasets/TISCH DATASET/AML_GSE154109.RDS
Breast Cancer,BRCA_GSE148673,https://chenlab-data-public.s3.us-west-2.amazonaws.com/BISPECIFIC_ANTIBODY/Single_cell_data/TISCH/BRCA_GSE148673.RDS,/mnt/ufs18/rs-013/chenlab/Bispecific/Datasets/TISCH DATASET/BRCA_GSE148673.RDS
Cervical Cancer,CESC_GSE168652,https://chenlab-data-public.s3.us-west-2.amazonaws.com/BISPECIFIC_ANTIBODY/Single_cell_data/TISCH/CESC_GSE168652.RDS,/mnt/ufs18/rs-013/chenlab/Bispecific/Datasets/TISCH DATASET/CESC_GSE168652.RDS
Glioma,Glioma_GSE141383,https://chenlab-data-public.s3.us-west-2.amazonaws.com/BISPECIFIC_ANTIBODY/Single_cell_data/TISCH/Glioma_GSE141383.RDS,/mnt/ufs18/rs-013/chenlab/Bispecific/Datasets/TISCH DATASET/Glioma_GSE141383.RDS
Head_neck Cancer,HNSC_GSE103322,https://chenlab-data-public.s3.us-west-2.amazonaws.com/BISPECIFIC_ANTIBODY/Single_cell_data/TISCH/HNSC_GSE103322.RDS,/mnt/ufs18/rs-013/chenlab/Bispecific/Datasets/TISCH DATASET/HNSC_GSE103322.RDS
Laryngeal Cancer,LSCC_GSE150321,https://chenlab-data-public.s3.us-west-2.amazonaws.com/BISPECIFIC_ANTIBODY/Single_cell_data/TISCH/LSCC_GSE150321.RDS,/mnt/ufs18/rs-013/chenlab/Bispecific/Datasets/TISCH DATASET/LSCC_GSE150321.RDS
Medulloblastoma,MB_GSE155446,https://chenlab-data-public.s3.us-west-2.amazonaws.com/BISPECIFIC_ANTIBODY/Single_cell_data/TISCH/MB_GSE155446.RDS,/mnt/ufs18/rs-013/chenlab/Bispecific/Datasets/TISCH DATASET/MB_GSE155446.RDS
Ovarian Cancer,OV_GSE130000,https://chenlab-data-public.s3.us-west-2.amazonaws.com/BISPECIFIC_ANTIBODY/Single_cell_data/TISCH/OV_GSE130000.RDS,/mnt/ufs18/rs-013/chenlab/Bispecific/Datasets/TISCH DATASET/OV_GSE130000.RDS
Pancreatic Cancer,PAAD_CRA001160,https://chenlab-data-public.s3.us-west-2.amazonaws.com/BISPECIFIC_ANTIBODY/Single_cell_data/TISCH/PAAD_CRA001160.RDS,/mnt/ufs18/rs-013/chenlab/Bispecific/Datasets/TISCH DATASET/PAAD_CRA001160.RDS
